0:0:0:0:0:0:0:1 - - [19/Sep/2022:09:23:15 +0700] "GET /Java5/BtMayTinh_.jsp?a=3&b=23&calculate=* HTTP/1.1" 200 668
0:0:0:0:0:0:0:1 - - [19/Sep/2022:09:23:16 +0700] "GET /Java5/BtMayTinh_.jsp?a=3&b=23&calculate=%2B HTTP/1.1" 200 668
0:0:0:0:0:0:0:1 - - [19/Sep/2022:09:23:17 +0700] "GET /Java5/BtMayTinh_.jsp?a=3&b=23&calculate=* HTTP/1.1" 200 668
0:0:0:0:0:0:0:1 - - [19/Sep/2022:09:23:18 +0700] "GET /Java5/BtMayTinh_.jsp?a=3&b=23&calculate=- HTTP/1.1" 200 669
0:0:0:0:0:0:0:1 - - [19/Sep/2022:09:23:18 +0700] "GET /Java5/BtMayTinh_.jsp?a=3&b=23&calculate=* HTTP/1.1" 200 668
0:0:0:0:0:0:0:1 - - [19/Sep/2022:09:23:19 +0700] "GET /Java5/BtMayTinh_.jsp?a=3&b=23&calculate=%2B HTTP/1.1" 200 668
0:0:0:0:0:0:0:1 - - [19/Sep/2022:09:23:20 +0700] "GET /Java5/BtMayTinh_.jsp?a=3&b=23&calculate=* HTTP/1.1" 200 668
0:0:0:0:0:0:0:1 - - [19/Sep/2022:09:23:22 +0700] "GET /Java5/BtMayTinh_.jsp?a=3&b=23&calculate=* HTTP/1.1" 200 668
0:0:0:0:0:0:0:1 - - [19/Sep/2022:09:23:23 +0700] "GET /Java5/BtMayTinh_.jsp?a=3&b=23&calculate=* HTTP/1.1" 200 668
0:0:0:0:0:0:0:1 - - [19/Sep/2022:09:23:24 +0700] "GET /Java5/BtMayTinh_.jsp?a=3&b=23&calculate=%2B HTTP/1.1" 200 668
0:0:0:0:0:0:0:1 - - [19/Sep/2022:09:24:09 +0700] "GET /Java5/BtMayTinh_.jsp?a=22&b=24&calculate=%2B HTTP/1.1" 200 670
